127.427	192.911	0.515	-2.934	2.245	17.744	19.512	27.744	457.000	32.318	
126.089	192.449	0.492	-3.059	2.229	44.634	-7.134	12.134	506.000	32.318	
126.705	191.913	0.480	-3.055	2.277	36.585	-13.049	22.988	540.000	32.365	
127.698	193.741	0.546	-2.889	2.232	53.293	-25.244	16.707	573.000	32.224	
125.659	194.042	0.546	-3.042	2.183	74.207	-24.146	21.220	606.000	32.318	
126.925	193.433	0.554	-3.085	2.318	62.378	-17.927	45.244	640.000	32.412	
127.569	192.125	0.495	-2.996	2.305	48.720	-4.573	57.622	672.000	32.459	
128.658	190.922	0.455	-2.948	2.358	22.195	1.220	59.268	708.000	32.365	
127.620	189.450	0.382	-2.977	2.294	6.280	-11.037	40.610	742.000	32.318	
128.282	188.670	0.354	-2.938	2.318	3.232	-17.012	23.780	775.000	32.459	
128.664	190.376	0.432	-2.946	2.357	-3.293	-17.622	17.256	807.000	32.412	
128.471	191.458	0.472	-2.929	2.327	1.829	-5.915	20.549	841.000	32.506	
129.080	192.237	0.512	-2.905	2.359	-8.841	7.561	28.049	874.000	32.318	
125.862	194.189	0.543	-2.971	2.147	29.024	17.744	43.049	907.000	32.365	
128.579	191.533	0.482	-2.964	2.364	11.159	42.988	89.573	941.000	32.412	
128.882	190.910	0.457	-2.940	2.371	25.549	30.671	62.256	972.000	32.318	
126.091	190.603	0.420	-3.077	2.243	39.146	49.573	29.146	1005.000	32.365	
129.873	190.720	0.474	-2.995	2.502	29.268	64.878	4.695	1038.000	32.459	
129.325	190.633	0.439	-2.857	2.341	30.122	88.720	-27.744	1072.000	32.412	
129.832	192.801	0.548	-2.891	2.411	1.890	113.171	-1.585	1107.000	32.412	
130.522	193.248	0.572	-2.844	2.431	-9.329	104.451	18.110	1140.000	32.459	
129.548	194.661	0.616	-2.853	2.355	-12.500	112.134	40.549	1176.000	32.553	
128.076	194.597	0.604	-2.958	2.317	-3.963	117.500	41.585	1209.000	32.412	
129.862	190.866	0.466	-2.906	2.427	-24.817	121.220	38.110	1243.000	32.506	
129.605	189.770	0.411	-2.886	2.388	-20.122	102.195	30.244	1275.000	32.506	
129.333	190.157	0.425	-2.894	2.371	-6.341	72.866	20.427	1309.000	32.506	
128.989	191.961	0.492	-2.870	2.323	-11.768	61.220	13.049	1342.000	32.412	
128.627	193.265	0.541	-2.872	2.295	0.610	50.610	9.512	1376.000	32.412	
127.611	193.405	0.538	-2.931	2.258	9.756	39.146	1.159	1412.000	32.553	
128.674	192.349	0.513	-2.926	2.342	10.244	33.049	-0.732	1444.000	32.553	
128.963	191.694	0.492	-2.940	2.378	9.207	21.951	-8.232	1477.000	32.600	
129.720	191.778	0.503	-2.903	2.412	-2.256	-0.488	-19.817	1511.000	32.506	
129.498	193.284	0.563	-2.896	2.387	-17.988	-14.939	-20.122	1544.000	32.553	
129.213	193.935	0.580	-2.865	2.338	-11.768	-17.378	-9.390	1577.000	32.459	
129.249	194.398	0.598	-2.850	2.328	-13.720	-24.146	-6.524	1610.000	32.600	
129.173	193.751	0.576	-2.890	2.354	4.329	-29.085	-8.780	1646.000	32.506	
130.314	193.646	0.591	-2.868	2.434	-11.768	-24.390	-0.793	1679.000	32.600	
129.589	193.088	0.558	-2.900	2.398	-5.305	-36.585	-3.841	1713.000	32.506	
130.125	193.715	0.592	-2.877	2.425	-21.402	-27.805	12.012	1745.000	32.553	
129.181	195.657	0.662	-2.898	2.362	-13.415	-19.390	14.085	1779.000	32.553	
128.328	196.509	0.682	-2.909	2.300	-12.134	1.951	12.012	1812.000	32.553	
128.436	195.665	0.659	-2.962	2.351	-17.439	17.378	9.939	1846.000	32.600	
128.060	196.640	0.700	-2.992	2.343	-18.476	22.500	-4.878	1882.000	32.553	
126.469	198.821	0.770	-3.055	2.258	-8.659	25.854	-15.183	1914.000	32.600	
125.452	204.333	0.979	-3.042	2.166	14.146	7.622	-22.012	1948.000	32.600	
124.317	208.770	1.104	-2.944	2.010	29.939	4.390	-36.098	1981.000	32.553	
125.083	210.988	1.204	-2.854	2.005	79.451	32.927	-31.098	2014.000	32.647	
125.631	204.614	0.967	-2.944	2.110	62.683	56.768	-35.488	2048.000	32.600	
125.648	199.745	0.813	-3.156	2.264	51.341	53.659	-27.256	2080.000	32.600	
126.300	198.603	0.771	-3.116	2.289	66.341	25.732	1.829	2119.000	32.600	
129.197	189.241	0.348	-2.620	2.137	60.793	-46.585	-59.207	2152.000	32.600	
127.616	165.761	-0.479	-2.447	1.886	20.305	-155.061	-211.524	2185.000	32.694	
134.756	162.966	-0.699	-2.302	2.282	64.451	-220.183	-209.512	2219.000	32.600	
129.554	182.646	0.111	-2.917	2.409	98.598	-246.707	-147.195	2252.000	32.600	
129.250	187.040	0.371	-3.678	3.005	115.122	-184.390	-193.415	2285.000	32.553	
126.750	189.812	0.453	-3.509	2.620	-37.317	-137.622	-275.610	2328.000	32.694	
122.134	179.857	-0.005	-3.125	1.963	-114.878	-215.732	-280.427	2363.000	32.600	
129.913	177.821	-0.071	-2.240	1.874	-24.146	-204.146	-295.183	2398.000	32.600	
130.786	179.635	-0.013	-2.313	1.995	156.402	-171.829	-277.622	2434.000	32.694	
129.953	183.517	0.147	-2.864	2.399	189.085	-177.256	-203.841	2468.000	32.600	
128.159	182.763	0.128	-3.373	2.650	90.488	-121.524	-151.829	2503.000	32.647	
127.763	179.298	-0.030	-3.189	2.471	-7.439	-35.122	-108.415	2538.000	32.553	
130.284	173.880	-0.251	-2.762	2.341	48.780	-5.122	-30.427	2576.000	32.647	
131.658	174.528	-0.252	-2.956	2.630	121.646	-13.354	47.988	2611.000	32.694	
132.358	181.707	0.091	-3.343	3.048	43.720	132.500	141.768	2646.000	32.694	
138.256	190.370	0.702	-3.424	3.837	168.110	175.610	223.476	2680.000	32.600	
142.527	178.358	-0.118	-3.159	4.121	-31.402	56.341	-88.232	2716.000	32.694	
138.388	194.944	0.956	-3.182	3.582	-99.512	-179.207	47.927	2751.000	32.694	
134.568	211.251	1.403	-2.348	2.313	-336.829	-141.768	135.915	2786.000	32.694	
143.968	214.033	1.444	-1.556	2.139	-126.280	88.720	8.902	2824.000	32.647	
137.331	203.006	0.880	-1.910	2.072	-0.976	79.817	-25.976	2859.000	32.741	
137.463	201.206	1.181	-2.792	3.043	96.402	-58.049	-53.902	2893.000	32.694	
135.060	199.970	1.012	-2.778	2.784	-190.549	-45.183	-169.329	2928.000	32.647	
127.949	201.580	0.795	-2.577	2.010	-308.659	-35.305	-221.951	2963.000	32.694	
125.785	207.361	0.780	-2.092	1.508	-160.244	-30.000	-145.488	2999.000	32.647	
127.325	213.500	0.948	-1.879	1.433	98.171	-74.512	-62.622	3036.000	32.647	
131.040	201.319	0.830	-2.443	2.127	171.037	-53.476	-107.134	3072.000	32.647	
130.670	197.746	0.736	-2.678	2.301	43.232	0.976	-157.073	3106.000	32.741	
125.545	199.677	0.715	-2.798	1.999	71.585	-56.524	-190.488	3143.000	32.600	
123.759	202.970	0.854	-3.013	2.014	143.232	-100.366	-163.293	3179.000	32.741	
126.338	206.565	1.084	-2.947	2.168	154.634	-108.963	-88.963	3214.000	32.647	
129.846	204.762	1.268	-3.293	2.748	86.220	-143.110	-49.207	3249.000	32.694	
128.490	198.441	1.001	-3.775	3.002	-156.707	-260.305	-76.402	3287.000	32.694	
132.078	181.065	0.064	-3.841	3.468	-99.634	-410.671	-138.598	3321.000	32.647	
151.960	188.374	0.719	-2.601	4.883	-16.646	-540.305	-100.183	3356.000	32.788	
142.750	189.226	0.567	-2.656	3.493	141.890	-288.720	-152.439	3392.000	32.741	
147.054	177.887	-0.120	-2.109	3.255	-377.439	-90.000	-260.671	3427.000	32.694	
157.731	170.498	-0.348	-0.851	2.077	-240.183	-273.415	-269.939	3462.000	32.694	
145.972	193.429	0.545	-1.541	2.282	105.488	-491.707	-400.610	3500.000	32.694	
140.944	200.633	1.078	-2.323	2.863	-52.256	-411.646	-435.061	3534.000	32.741	
134.394	192.417	0.503	-2.333	2.284	-265.732	-202.866	-352.744	3570.000	32.741	
131.421	180.282	0.010	-2.248	1.983	-234.268	-170.854	-186.829	3605.000	32.788	
132.117	189.100	0.289	-1.996	1.805	-68.598	-117.256	-157.012	3640.000	32.835	
134.221	186.871	0.277	-2.365	2.302	5.305	-96.524	-255.427	3675.000	32.647	
130.505	184.108	0.182	-2.961	2.529	53.171	-63.232	-249.817	3710.000	32.835	
127.601	180.408	0.019	-3.382	2.604	-58.476	15.854	-231.646	3747.000	32.835	
127.082	180.045	0.002	-3.279	2.479	-126.402	50.061	-197.256	3783.000	32.694	
129.937	184.504	0.231	-3.510	2.938	-100.427	76.402	-106.220	3818.000	32.694	
130.946	187.747	0.426	-3.607	3.130	-161.829	126.707	-45.305	3853.000	32.694	
